SampleName,SpecificCarbon,MediaType,C6Sugar,C5Sugar,TCA,CarbonType1,CarbonType2
LB1,LB,Rich,Other,Other,Other,Rich,Rich
LB2,LB,Rich,Other,Other,Other,Rich,Rich
LB3,LB,Rich,Other,Other,Other,Rich,Rich
Glucose1,Glucose,Minimal,C6Sugar,Other,Other,C6Sugar,Sugar
Glucose2,Glucose,Minimal,C6Sugar,Other,Other,C6Sugar,Sugar
Glucose3,Glucose,Minimal,C6Sugar,Other,Other,C6Sugar,Sugar
Mannose1,Mannose,Minimal,C6Sugar,Other,Other,C6Sugar,Sugar
Mannose2,Mannose,Minimal,C6Sugar,Other,Other,C6Sugar,Sugar
Mannose3,Mannose,Minimal,C6Sugar,Other,Other,C6Sugar,Sugar
Mannitol1,Mannitol,Minimal,C6Sugar,Other,Other,C6Sugar,Sugar
Mannitol2,Mannitol,Minimal,C6Sugar,Other,Other,C6Sugar,Sugar
Mannitol3,Mannitol,Minimal,C6Sugar,Other,Other,C6Sugar,Sugar
Arabinose1,Arabinose,Minimal,Other,C5Sugar,Other,C5Sugar,Sugar
Arabinose2,Arabinose,Minimal,Other,C5Sugar,Other,C5Sugar,Sugar
Arabinose3,Arabinose,Minimal,Other,C5Sugar,Other,C5Sugar,Sugar
Acetate1,Acetate,Minimal,Other,Other,TCA,TCA,TCA
Acetate2,Acetate,Minimal,Other,Other,TCA,TCA,TCA
Acetate3,Acetate,Minimal,Other,Other,TCA,TCA,TCA
Succinate1,Succinate,Minimal,Other,Other,TCA,TCA,TCA
Succinate2,Succinate,Minimal,Other,Other,TCA,TCA,TCA
Succinate3,Succinate,Minimal,Other,Other,TCA,TCA,TCA
Fumarate1,Fumarate,Minimal,Other,Other,TCA,TCA,TCA
Fumarate2,Fumarate,Minimal,Other,Other,TCA,TCA,TCA
Fumarate3,Fumarate,Minimal,Other,Other,TCA,TCA,TCA
PCA1,PCA,Minimal,Other,Other,TCA,TCA,TCA
PCA2,PCA,Minimal,Other,Other,TCA,TCA,TCA
PCA3,PCA,Minimal,Other,Other,TCA,TCA,TCA