SampleId,Condition
Acetate-R1,Acetate
Acetate-R2,Acetate
Acetate-R3,Acetate
Arabinose-R1,Arabinose
Arabinose-R2,Arabinose
Arabinose-R3,Arabinose
Fumarate-R1,Fumarate
Fumarate-R2,Fumarate
Fumarate-R3,Fumarate
Glucose-R1,Glucose
Glucose-R2,Glucose
Glucose-R3,Glucose
LB-R1,LB
LB-R2,LB
LB-R3,LB
Mannitol-R1,Mannitol
Mannitol-R2,Mannitol
Mannitol-R3,Mannitol
Mannose-R1,Mannose
Mannose-R2,Mannose
Mannose-R3,Mannose
Protocatechuate-R1,PCA
Protocatechuate-R2,PCA
Protocatechuate-R3,PCA
Ribose-R1,Ribose
Ribose-R2,Ribose
Ribose-R3,Ribose
Succinate-R1,Succinate
Succinate-R2,Succinate
Succinate-R3,Succinate
Xylose-R1,Xylose
Xylose-R2,Xylose
Xylose-R3,Xylose